"base_asset_id","base_exchange_symbol","q2_pair_count","q2_typed_observation_count","current_candidate_count","current_candidate_ids","current_candidate_names","candidate_records_json","candidate_records_sha256","mapping_status","mapping_approved"
"1INCH","1INCH","2","8079","1","1inch","1INCH","[{""id"":""1inch"",""symbol"":""1inch"",""name"":""1INCH"",""platforms"":{""arbitrum-one"":""0x6314c31a7a1652ce482cffe247e9cb7c3f4bb9af"",""avalanche"":""0xd501281565bf7789224523144fe5d98e8b28f267"",""base"":""0xc5fecc3a29fb57b5024eec8a2239d4621e111cbe"",""binance-smart-chain"":""0x111111111117dc0aa78b770fa6a738034120c302"",""ethereum"":""0x111111111117dc0aa78b770fa6a738034120c302"",""linea"":""0x10f04e61bd6019d6c9b0bf4907e805a64b92ee3e"",""optimistic-ethereum"":""0xad42d013ac31486b73b6b059e748172994736426"",""robinhood"":""0x1755c2910c126ee1b0cf1e08a307dc9e787285a0"",""unichain"":""0xbe41cde1c5e75a7b6c2c70466629878aa9acd06e"",""zksync"":""0x3f0b8b206a7fbdb3ecfc08c9407ca83f5ab1ce59""}}]","532308d13e5810662c1831218f30eaa0bd40172c26d51ca8665e285df2ae80e2","single_current_candidate_review_required","False"
"AAVE","AAVE","5","103577","1","aave","Aave","[{""id"":""aave"",""symbol"":""aave"",""name"":""Aave"",""platforms"":{""arbitrum-one"":""0xba5ddd1f9d7f570dc94a51479a000e3bce967196"",""avalanche"":""0x63a72806098bd3d9520cc43356dd78afe5d386d9"",""base"":""0x63706e401c06ac8513145b7687a14804d17f814b"",""binance-smart-chain"":""0xfb6115445bff7b52feb98650c87f44907e58f802"",""energi"":""0xa7f2f790355e0c32cab03f92f6eb7f488e6f049a"",""ethereum"":""0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9"",""fantom"":""0x6a07a792ab2965c72a5b8088d3a069a7ac3a993b"",""harmony-shard-0"":""0xcf323aad9e522b93f11c352caa519ad0e14eb40f"",""huobi-token"":""0x202b4936fe1a82a4965220860ae46d7d3939bb25"",""hydration"":""asset_registry%2F1000624"",""near-protocol"":""7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9.factory.bridge.near"",""optimistic-ethereum"":""0x76fb31fb4af56892a25e32cfc43de717950c9278"",""polygon-pos"":""0xd6df932a45c0f255f85145f286ea0b292b21c90b"",""solana"":""AavE1kKKnesPw4MuRJmJ9jZs9QzEE8CPxQ3ViczUDfc1"",""sora"":""0x0091bd8d8295b25cab5a7b8b0e44498e678cfc15d872ede3215f7d4c7635ba36""}}]","64a9998924cb1781992aa22beb456da46a5e62871e70727783bb965d9461d0af","single_current_candidate_review_required","False"
"ACA","ACA","2","3929","1","acala","Acala","[{""id"":""acala"",""symbol"":""aca"",""name"":""Acala"",""platforms"":{""polkadot"":""""}}]","9f4238b82956b4431fcdcb8ecffef5937ebea131ae1a7cd6720510c9bf42c26c","single_current_candidate_review_required","False"
"ACH","ACH","2","24647","1","alchemy-pay","Alchemy Pay","[{""id"":""alchemy-pay"",""symbol"":""ach"",""name"":""Alchemy Pay"",""platforms"":{""binance-smart-chain"":""0xbc7d6b50616989655afd682fb42743507003056d"",""ethereum"":""0xed04915c23f00a313a544955524eb7dbd823143d""}}]","ba8139b4bd8ac888a7aeefd7ea546f3e34dba070cc1166bd925a72857342f0dd","single_current_candidate_review_required","False"
"ACT","ACT","2","11148","3","acet-token|achain|act-i-the-ai-prophecy","Acet|Achain|Act I The AI Prophecy","[{""id"":""acet-token"",""symbol"":""act"",""name"":""Acet"",""platforms"":{""binance-smart-chain"":""0x9f3bcbe48e8b754f331dfc694a894e8e686ac31d""}},{""id"":""achain"",""symbol"":""act"",""name"":""Achain"",""platforms"":{}},{""id"":""act-i-the-ai-prophecy"",""symbol"":""act"",""name"":""Act I The AI Prophecy"",""platforms"":{""solana"":""GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump""}}]","ba72d67cc0fcb2aeaceb9501ba4b1b929074e454da1e0f671467eff44550e6a9","ambiguous_current_candidates","False"
"ACX","ACX","2","2976","1","across-protocol","Across Protocol","[{""id"":""across-protocol"",""symbol"":""acx"",""name"":""Across Protocol"",""platforms"":{""arbitrum-one"":""0x53691596d1bce8cea565b84d4915e69e03d9c99d"",""boba"":""0x96821b258955587069f680729cd77369c0892b40"",""ethereum"":""0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f"",""optimistic-ethereum"":""0xff733b2a3557a7ed6697007ab5d11b79fdd1b76b"",""polygon-pos"":""0xf328b73b6c685831f238c30a23fc19140cb4d8fc""}}]","f64747abdb0dc9ef1a2da58d1544c360654563c02bdf7a28194c8cee53394908","single_current_candidate_review_required","False"
"ADA","ADA","8","253582","3","ada-the-dog|binance-peg-cardano|cardano","Binance-Peg Cardano|Cardano|TOLY'S DOG","[{""id"":""ada-the-dog"",""symbol"":""ada"",""name"":""TOLY\u0027S DOG"",""platforms"":{""solana"":""E4Q5pLaEiejwEQHcM9GeYSQfMyGy8DJ4bPWgeYthn24v""}},{""id"":""binance-peg-cardano"",""symbol"":""ada"",""name"":""Binance-Peg Cardano"",""platforms"":{""binance-smart-chain"":""0x3ee2200efb3400fabb9aacf31297cbdd1d435d47"",""harmony-shard-0"":""0x582617bd8ca80d22d4432e63fda52d74dcdcee4c""}},{""id"":""cardano"",""symbol"":""ada"",""name"":""Cardano"",""platforms"":{}}]","aad8bcf9584ddc08e6c21996107865fd141562dd37d3746e5fa9b6f4e075f723","ambiguous_current_candidates","False"
"ADX","ADX","2","2977","2","adex|adrena","Adrena|heyAura","[{""id"":""adex"",""symbol"":""adx"",""name"":""heyAura"",""platforms"":{""binance-smart-chain"":""0x6bff4fb161347ad7de4a625ae5aa3a1ca7077819"",""ethereum"":""0xade00c28244d5ce17d72e40330b1c318cd12b7c3"",""robinhood"":""0xf82119ebd01eb6ab67105c9536a713d61a25cf9f""}},{""id"":""adrena"",""symbol"":""adx"",""name"":""Adrena"",""platforms"":{""solana"":""AuQaustGiaqxRvj2gtCdrd22PBzTn8kM3kEPEkZCtuDw""}}]","484fe7ebe9c4e631a06522afe380930b1e182a2e651b49ba859556ee25778f14","ambiguous_current_candidates","False"
"AERO","AERO","2","26639","1","aerodrome-finance","Aerodrome Finance","[{""id"":""aerodrome-finance"",""symbol"":""aero"",""name"":""Aerodrome Finance"",""platforms"":{""base"":""0x940181a94a35a4569e4529a3cdfb74e38fd98631""}}]","13645ebe779ea263898fcede8a589144305d3b488bcd745268bdf672c17629e4","single_current_candidate_review_required","False"
"AEVO","AEVO","2","5383","1","aevo-exchange","Aevo","[{""id"":""aevo-exchange"",""symbol"":""aevo"",""name"":""Aevo"",""platforms"":{""ethereum"":""0xb528edbef013aff855ac3c50b381f253af13b997""}}]","baa435e47c1e1fb064d5d9d5194ea76f721381e35fe35a07c2fa005be58769e4","single_current_candidate_review_required","False"
