"source_member_ordinal","member_path_raw","pair_token_opaque","typed_observation_count","resolution_status","resolution_method","official_pair_key","official_altname","official_wsname","base_asset_id","quote_asset_id","base_exchange_symbol","quote_exchange_symbol","pair_status","research_eligible","identity_evidence_json"
"1","1INCHEUR_1.csv","1INCHEUR","1715","official_exact","official_altname_exact","1INCHEUR","1INCHEUR","1INCH/EUR","1INCH","ZEUR","1INCH","EUR","online","True","{""pair_key"":""1INCHEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""1INCH"",""quote"":""ZEUR""}"
"9","1INCHUSD_1.csv","1INCHUSD","6364","official_exact","official_altname_exact","1INCHUSD","1INCHUSD","1INCH/USD","1INCH","ZUSD","1INCH","USD","online","True","{""pair_key"":""1INCHUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""1INCH"",""quote"":""ZUSD""}"
"17","AAVEETH_1.csv","AAVEETH","3367","official_exact","official_altname_exact","AAVEETH","AAVEETH","AAVE/ETH","AAVE","XETH","AAVE","ETH","online","True","{""pair_key"":""AAVEETH"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""AAVE"",""quote"":""XETH""}"
"25","AAVEEUR_1.csv","AAVEEUR","21390","official_exact","official_altname_exact","AAVEEUR","AAVEEUR","AAVE/EUR","AAVE","ZEUR","AAVE","EUR","online","True","{""pair_key"":""AAVEEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""AAVE"",""quote"":""ZEUR""}"
"33","AAVEGBP_1.csv","AAVEGBP","2725","official_exact","official_altname_exact","AAVEGBP","AAVEGBP","AAVE/GBP","AAVE","ZGBP","AAVE","GBP","online","True","{""pair_key"":""AAVEGBP"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""AAVE"",""quote"":""ZGBP""}"
"41","AAVEUSD_1.csv","AAVEUSD","63697","official_exact","official_altname_exact","AAVEUSD","AAVEUSD","AAVE/USD","AAVE","ZUSD","AAVE","USD","online","True","{""pair_key"":""AAVEUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""AAVE"",""quote"":""ZUSD""}"
"49","AAVEXBT_1.csv","AAVEXBT","12398","official_exact","official_altname_exact","AAVEXBT","AAVEXBT","AAVE/XBT","AAVE","XXBT","AAVE","XBT","online","True","{""pair_key"":""AAVEXBT"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""AAVE"",""quote"":""XXBT""}"
"57","ACAEUR_1.csv","ACAEUR","1506","official_exact","official_altname_exact","ACAEUR","ACAEUR","ACA/EUR","ACA","ZEUR","ACA","EUR","online","True","{""pair_key"":""ACAEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ACA"",""quote"":""ZEUR""}"
"65","ACAUSD_1.csv","ACAUSD","2423","official_exact","official_altname_exact","ACAUSD","ACAUSD","ACA/USD","ACA","ZUSD","ACA","USD","online","True","{""pair_key"":""ACAUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ACA"",""quote"":""ZUSD""}"
"73","ACHEUR_1.csv","ACHEUR","3629","official_exact","official_altname_exact","ACHEUR","ACHEUR","ACH/EUR","ACH","ZEUR","ACH","EUR","online","True","{""pair_key"":""ACHEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ACH"",""quote"":""ZEUR""}"
"81","ACHUSD_1.csv","ACHUSD","21018","official_exact","official_altname_exact","ACHUSD","ACHUSD","ACH/USD","ACH","ZUSD","ACH","USD","online","True","{""pair_key"":""ACHUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ACH"",""quote"":""ZUSD""}"
