"base_asset_id","alias_text","alias_type","requires_crypto_context","structural_base_link_status","context_flag_status","cfa_alias_semantic_status"
"AAVE","Aave","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"ADA","Cardano","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"ALGO","Algorand","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"APT","Aptos","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"ARB","Arbitrum","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"ATOM","Cosmos","manual_core_name","True","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"AVAX","Avalanche","manual_core_name","True","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"BCH","Bitcoin Cash","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"BNB","Binance Coin","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"BONK","Bonk","manual_core_name","True","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"CRO","Cronos","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"DAI","Dai","manual_core_name","True","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"DOT","Polkadot","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"EOS","EOS","manual_core_name","True","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"FET","Artificial Superintelligence Alliance","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"FIL","Filecoin","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"ICP","Internet Computer","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"INJ","Injective","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"LINK","Chainlink","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"MKR","MakerDAO","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"NEAR","Near Protocol","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"OP","Optimism","manual_core_name","True","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"PEPE","Pepe","manual_core_name","True","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"POL","Polygon","manual_core_name","True","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"RENDER","Render Network","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"SHIB","Shiba Inu","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"SOL","Solana","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"SUI","Sui","manual_core_name","True","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"TAO","Bittensor","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"TIA","Celestia","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"TON","Toncoin","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"TRX","Tron","manual_core_name","True","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"UNI","Uniswap","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"USDC","USD Coin","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"USDT","Tether","manual_core_name","True","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"XETC","Ethereum Classic","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"XETH","Ethereum","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"XLTC","Litecoin","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"XXBT","Bitcoin","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"XXBT","BTC","manual_core_symbol","True","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"XXDG","DOGE","manual_core_symbol","True","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"XXDG","Dogecoin","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"XXLM","Stellar","manual_core_name","True","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"XXMR","Monero","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
"XXRP","Ripple","manual_core_name","False","PASS","PASS","APPROVED_ALIAS_IDENTITY"
