"base_asset_id","requested_candidate_id","http_status","response_sha256","response_bytes","parse_status","returned_id","returned_name","returned_symbol","asset_platform_id","contract_address","homepage","seed_basis","request_url","error_message"
"AIR","altair","404","6bc1ea2a2ab04ba73a3eb2ce20bd1d924cecf6f5cdc55c26edd63f9354a7970c","26","NOT_APPLICABLE","","","","","","","Canonical CoinGecko Altair page","https://api.coingecko.com/api/v3/coins/altair?localization=false&tickers=false&market_data=false&community_data=false&developer_data=false&sparkline=false","The remote server returned an error: (404) Not Found."
"APENFT","apenft","200","d9803109a9775f07dacf4c5707fe340fa20f93ace7e681e14c397b014042e2ae","3166","PASS","apenft","AINFT","nft","tron","TFczxzPhnThNSqr5by8tvxsdCFRRz6cPNq","https://ainft.com/","Canonical historical CoinGecko APENFT id candidate","https://api.coingecko.com/api/v3/coins/apenft?localization=false&tickers=false&market_data=false&community_data=false&developer_data=false&sparkline=false",""
"AVAAI","ava-ai","429","6529e19eb4c125e9bf94e997ea53c292ea8f4d6d0a8f8c25fb400947c088da2e","187","NOT_APPLICABLE","","","","","","","Canonical CoinGecko Ava AI page","https://api.coingecko.com/api/v3/coins/ava-ai?localization=false&tickers=false&market_data=false&community_data=false&developer_data=false&sparkline=false","The remote server returned an error: (429) Too Many Requests."
"BRICK","brick","404","6bc1ea2a2ab04ba73a3eb2ce20bd1d924cecf6f5cdc55c26edd63f9354a7970c","26","NOT_APPLICABLE","","","","","","","Canonical CoinGecko r/FortNiteBR Bricks page","https://api.coingecko.com/api/v3/coins/brick?localization=false&tickers=false&market_data=false&community_data=false&developer_data=false&sparkline=false","The remote server returned an error: (404) Not Found."
"CSM","crust-shadow","404","6bc1ea2a2ab04ba73a3eb2ce20bd1d924cecf6f5cdc55c26edd63f9354a7970c","26","NOT_APPLICABLE","","","","","","","Canonical CoinGecko Crust Shadow page","https://api.coingecko.com/api/v3/coins/crust-shadow?localization=false&tickers=false&market_data=false&community_data=false&developer_data=false&sparkline=false","The remote server returned an error: (404) Not Found."
"FXS","frax-share","200","1de81665e63bb0d46780a279161f4c9f8f89003a518267fb0d63d82dcb17c34b","6065","PASS","frax-share","Frax (prev. FXS)","frax","ethereum","0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0","https://frax.finance","Canonical CoinGecko Frax/Frax Share migration page","https://api.coingecko.com/api/v3/coins/frax-share?localization=false&tickers=false&market_data=false&community_data=false&developer_data=false&sparkline=false",""
"GST","green-satoshi-token","200","372c2aaf2f559fb08c5b209102dd9b3030e3c88d86fee8853389959e9133734c","3680","PASS","green-satoshi-token","STEPN Green Satoshi Token on Solana","gst-sol","solana","AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB","https://stepn.com/","Canonical CoinGecko STEPN Green Satoshi Token on Solana page","https://api.coingecko.com/api/v3/coins/green-satoshi-token?localization=false&tickers=false&market_data=false&community_data=false&developer_data=false&sparkline=false",""
"HPOS10I","harrypotterobamasonic10inu","200","f6d9996274e5f29dcae417191a3756c19640beda7c404b00b564699a564b78b1","2587","PASS","harrypotterobamasonic10inu","HarryPotterObamaSonic10Inu","bitcoin","binance-smart-chain","0x4c769928971548eb71a3392eaf66bedc8bef4b80","https://hpos10i.net/","Canonical CoinGecko HarryPotterObamaSonic10Inu page","https://api.coingecko.com/api/v3/coins/harrypotterobamasonic10inu?localization=false&tickers=false&market_data=false&community_data=false&developer_data=false&sparkline=false",""
"INTR","interlay","404","6bc1ea2a2ab04ba73a3eb2ce20bd1d924cecf6f5cdc55c26edd63f9354a7970c","26","NOT_APPLICABLE","","","","","","","Canonical CoinGecko Interlay id candidate","https://api.coingecko.com/api/v3/coins/interlay?localization=false&tickers=false&market_data=false&community_data=false&developer_data=false&sparkline=false","The remote server returned an error: (404) Not Found."
"IP","data-network","404","6bc1ea2a2ab04ba73a3eb2ce20bd1d924cecf6f5cdc55c26edd63f9354a7970c","26","NOT_APPLICABLE","","","","","","","Current CoinGecko Story-to-Data-Network redirect candidate","https://api.coingecko.com/api/v3/coins/data-network?localization=false&tickers=false&market_data=false&community_data=false&developer_data=false&sparkline=false","The remote server returned an error: (404) Not Found."
"IP","story","404","6bc1ea2a2ab04ba73a3eb2ce20bd1d924cecf6f5cdc55c26edd63f9354a7970c","26","NOT_APPLICABLE","","","","","","","Historical CoinGecko Story slug candidate","https://api.coingecko.com/api/v3/coins/story?localization=false&tickers=false&market_data=false&community_data=false&developer_data=false&sparkline=false","The remote server returned an error: (404) Not Found."
"K","kinto","404","6bc1ea2a2ab04ba73a3eb2ce20bd1d924cecf6f5cdc55c26edd63f9354a7970c","26","NOT_APPLICABLE","","","","","","","Canonical CoinGecko Kinto page","https://api.coingecko.com/api/v3/coins/kinto?localization=false&tickers=false&market_data=false&community_data=false&developer_data=false&sparkline=false","The remote server returned an error: (404) Not Found."
"KINT","kintsugi","429","6529e19eb4c125e9bf94e997ea53c292ea8f4d6d0a8f8c25fb400947c088da2e","187","NOT_APPLICABLE","","","","","","","Canonical CoinGecko Kintsugi page","https://api.coingecko.com/api/v3/coins/kintsugi?localization=false&tickers=false&market_data=false&community_data=false&developer_data=false&sparkline=false","The remote server returned an error: (429) Too Many Requests."
"LUNA","terra-luna","200","d69bb63a3520c939846552f9af83a288dbb0d398bac799dda0b18a2f0e77e782","3522","PASS","terra-luna","Terra Luna Classic","lunc","","","https://www.terra-classic.io","Canonical CoinGecko Terra Luna Classic page","https://api.coingecko.com/api/v3/coins/terra-luna?localization=false&tickers=false&market_data=false&community_data=false&developer_data=false&sparkline=false",""
"REPV2","augur","200","c1c0c95383074ccbb6f3fbb0706bacdb55ef982007b2831bbdd0821ad98e4b2c","5482","PASS","augur","Augur [OLD]","rep","ethereum","0x221657776846890989a759ba2973e427dff5c9bb","http://www.augur.net/","Current CoinGecko Augur record candidate","https://api.coingecko.com/api/v3/coins/augur?localization=false&tickers=false&market_data=false&community_data=false&developer_data=false&sparkline=false",""
"REPV2","reputation","404","6bc1ea2a2ab04ba73a3eb2ce20bd1d924cecf6f5cdc55c26edd63f9354a7970c","26","NOT_APPLICABLE","","","","","","","CoinGecko Reputation/REP v2 migration record candidate","https://api.coingecko.com/api/v3/coins/reputation?localization=false&tickers=false&market_data=false&community_data=false&developer_data=false&sparkline=false","The remote server returned an error: (404) Not Found."
"SDN","shiden-network","404","6bc1ea2a2ab04ba73a3eb2ce20bd1d924cecf6f5cdc55c26edd63f9354a7970c","26","NOT_APPLICABLE","","","","","","","Canonical CoinGecko Shiden Network page","https://api.coingecko.com/api/v3/coins/shiden-network?localization=false&tickers=false&market_data=false&community_data=false&developer_data=false&sparkline=false","The remote server returned an error: (404) Not Found."
"TERM","term-finance","404","6bc1ea2a2ab04ba73a3eb2ce20bd1d924cecf6f5cdc55c26edd63f9354a7970c","26","NOT_APPLICABLE","","","","","","","Canonical CoinGecko Term Finance page","https://api.coingecko.com/api/v3/coins/term-finance?localization=false&tickers=false&market_data=false&community_data=false&developer_data=false&sparkline=false","The remote server returned an error: (404) Not Found."
"TON","the-open-network","200","d42d9273d1b021bbf0f7d225b1731864cb59b7efe1c1938881959e8eaf2437c9","3681","PASS","the-open-network","Gram (prev. Toncoin)","gram","the-open-network","EQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAM9c","https://ton.org/","Canonical historical CoinGecko Toncoin id candidate","https://api.coingecko.com/api/v3/coins/the-open-network?localization=false&tickers=false&market_data=false&community_data=false&developer_data=false&sparkline=false",""
"UST","terrausd","200","d425eea018c86a6c11281956ef840bb9beb7e965835a6a6f066277514c94f47b","3689","PASS","terrausd","TerraClassicUSD","ustc","terra","uusd","https://www.terra-classic.io","Canonical CoinGecko TerraClassicUSD historical id candidate","https://api.coingecko.com/api/v3/coins/terrausd?localization=false&tickers=false&market_data=false&community_data=false&developer_data=false&sparkline=false",""
