"base_asset_id","match_rows","score_100","score_80","score_60","new_candidate_rows"
"AIR","2","0","0","2","0"
"APENFT","2","1","0","1","2"
"CQT","1","1","0","0","1"
"CSM","0","0","0","0","0"
"FXS","0","0","0","0","0"
"GST","0","0","0","0","0"
"INTR","0","0","0","0","0"
"IP","0","0","0","0","0"
"K","1","0","0","1","0"
"KINT","0","0","0","0","0"
"LUNA","5","0","0","5","3"
"LUNA2","2","1","0","1","2"
"NANO","2","1","0","1","1"
"OM","1","0","1","0","1"
"TON","4","0","0","4","0"
"VELODROME","1","0","1","0","1"
"XXBT","12","1","0","11","11"
"XXDG","7","1","0","6","7"
