"base_asset_id","base_exchange_symbol","candidate_ids","mapping_status","approved_coingecko_id","decision_basis","evidence_note"
"1INCH","1INCH","1inch","APPROVED","1inch","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: 1inch:2"
"AAVE","AAVE","aave","APPROVED","aave","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: aave:3"
"ACA","ACA","acala","APPROVED","acala","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: acala:2"
"ACH","ACH","alchemy-pay","APPROVED","alchemy-pay","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: alchemy-pay:2"
"ACT","ACT","acet-token|achain|act-i-the-ai-prophecy","APPROVED","act-i-the-ai-prophecy","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: acet-token:0|achain:0|act-i-the-ai-prophecy:2"
"ACX","ACX","across-protocol","APPROVED","across-protocol","KRAKEN_HISTORICAL_LISTING_NAME_TICKER","Kraken explicitly listed Across Protocol (ACX); AF-002 candidate has same project and ticker. Source: https://blog.kraken.com/product/asset-listings/acx-clv-and-flux-are-available-for-trading"
"ADA","ADA","ada-the-dog|binance-peg-cardano|cardano","APPROVED","cardano","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: ada-the-dog:0|binance-peg-cardano:0|cardano:6"
"ADX","ADX","adex|adrena","APPROVED","adex","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: adex:2|adrena:0"
"AERO","AERO","aerodrome-finance","APPROVED","aerodrome-finance","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: aerodrome-finance:2"
"AEVO","AEVO","aevo-exchange","APPROVED","aevo-exchange","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: aevo-exchange:2"
"AGLD","AGLD","adventure-gold","APPROVED","adventure-gold","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies Adventure Gold (AGLD); AF-002 candidate has same project and ticker. Source: https://www.kraken.com/prices/adventure-gold"
"AI16Z","AI16Z","ai16z","APPROVED","ai16z","KRAKEN_MICA_HISTORY_NAME_TICKER","Kraken historical registry preserves AI16Z (AI16Z); AF-002 candidate has same ticker/name. Source: https://www.kraken.com/legal/mica-whitepapers/history"
"AIR","AIR","airian|spacebar","UNVERIFIED","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE","No unique independently verified CoinGecko-to-Kraken identity bridge; no inference applied."
"AIXBT","AIXBT","aixbt","APPROVED","aixbt","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: aixbt:2"
"AKT","AKT","akash-network|akita-inu-2","APPROVED","akash-network","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: akash-network:2|akita-inu-2:0"
"ALCH","ALCH","alchemist-ai","APPROVED","alchemist-ai","KRAKEN_ASSET_PAGE_NAME_TICKER","Kraken identifies Alchemist AI (ALCH); AF-002 candidate matches. Source: https://www.kraken.com/prices/alchemist-ai"
"ALCX","ALCX","alchemix","APPROVED","alchemix","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: alchemix:1"
"ALGO","ALGO","algorand|dear-algorithm","APPROVED","algorand","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: algorand:6|dear-algorithm:0"
"ALICE","ALICE","alice-2|alice-4|my-neighbor-alice","APPROVED","my-neighbor-alice","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: alice-2:0|alice-4:0|my-neighbor-alice:1"
"ALPHA","ALPHA","alpha-3|alpha-4|alpha-6|alphaarc|alphablockai|alpha-fi|alpha-finance","APPROVED","alpha-finance","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: alpha-3:0|alpha-4:0|alpha-6:0|alphaarc:0|alphablockai:0|alpha-fi:0|alpha-finance:2"
"ALT","ALT","alitas|alt|altcoin-2|altdeer|altlayer","APPROVED","altlayer","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: alitas:0|alt:0|altcoin-2:0|altdeer:0|altlayer:2"
"ANKR","ANKR","ankr","APPROVED","ankr","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: ankr:2"
"ANLOG","ANLOG","analog","APPROVED","analog","KRAKEN_MICA_HISTORY_NAME_TICKER","Kraken historical registry preserves Analog (ANLOG); AF-002 candidate matches. Source: https://www.kraken.com/legal/mica-whitepapers/history"
"ANON","ANON","anon-2|anon-ton|anonymous|anonymous-coin-2|heyanon|super-anon","APPROVED","heyanon","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: anon-2:0|anon-ton:0|anonymous:0|anonymous-coin-2:0|heyanon:2|super-anon:0"
"APE","APE","ape-3|apecoin|ape-lol|apetos","APPROVED","apecoin","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: ape-3:0|apecoin:2|ape-lol:0|apetos:0"
"APENFT","APENFT","","UNVERIFIED","","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE","No unique independently verified CoinGecko-to-Kraken identity bridge; no inference applied."
"API3","API3","api3","APPROVED","api3","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: api3:2"
"APT","APT","aptos","APPROVED","aptos","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: aptos:2"
"APU","APU","apu|apu-apustaja|apu-apustaja-sol|apu-s-club|based-apu","APPROVED","apu-s-club","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: apu:0|apu-apustaja:0|apu-apustaja-sol:0|apu-s-club:2|based-apu:0"
"AR","AR","arweave","APPROVED","arweave","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: arweave:1"
"ARB","ARB","arbitrage-loop|arbitrum","APPROVED","arbitrum","UNIQUE_CURRENT_KRAKEN_PAIR_BRIDGE","CoinGecko/Kraken bridge count evidence: arbitrage-loop:0|arbitrum:2"
