"base_asset_id","alias_text","alias_type","requires_crypto_context","alias_source"
"1INCH","1INCH","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"AAVE","Aave","manual_core_name","False","AF001_KRAKEN_SYMBOL|AF003_APPROVED_ALIAS"
"ACA","ACA","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ACH","ACH","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ACT","ACT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ACX","ACX","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ADA","ADA","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ADA","Cardano","manual_core_name","False","AF003_APPROVED_ALIAS"
"ADX","ADX","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"AERO","AERO","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"AEVO","AEVO","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"AGLD","AGLD","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"AI16Z","AI16Z","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"AIR","AIR","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"AIXBT","AIXBT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"AKT","AKT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ALCH","ALCH","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ALCX","ALCX","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ALGO","ALGO","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ALGO","Algorand","manual_core_name","False","AF003_APPROVED_ALIAS"
"ALICE","ALICE","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ALPHA","ALPHA","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ALT","ALT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ANKR","ANKR","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ANLOG","ANLOG","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ANON","ANON","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"APE","APE","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"APENFT","APENFT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"API3","API3","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"APT","APT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"APT","Aptos","manual_core_name","False","AF003_APPROVED_ALIAS"
"APU","APU","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"AR","AR","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ARB","ARB","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ARB","Arbitrum","manual_core_name","False","AF003_APPROVED_ALIAS"
"ARC","ARC","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ARKM","ARKM","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ARPA","ARPA","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ASRR","ASRR","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ASTR","ASTR","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ATH","ATH","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ATLAS","ATLAS","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ATOM","ATOM","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ATOM","Cosmos","manual_core_name","True","AF003_APPROVED_ALIAS"
"AUCTION","AUCTION","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"AUDIO","AUDIO","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"AVAAI","AVAAI","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"AVAX","Avalanche","manual_core_name","True","AF003_APPROVED_ALIAS"
"AVAX","AVAX","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"AXS","AXS","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"B3","B3","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"BABY","BABY","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"BADGER","BADGER","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"BAL","BAL","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"BANANAS31","BANANAS31","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"BAND","BAND","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"BAT","BAT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"BCH","BCH","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"BCH","Bitcoin Cash","manual_core_name","False","AF003_APPROVED_ALIAS"
"BDXN","BDXN","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"BEAM","BEAM","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"BERA","BERA","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"BICO","BICO","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"BIGTIME","BIGTIME","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"BIO","BIO","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"BIT","BIT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"BLUR","BLUR","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"BLZ","BLZ","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"BMT","BMT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"BNB","Binance Coin","manual_core_name","False","AF003_APPROVED_ALIAS"
"BNB","BNB","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
