"archive_file","archive_sha256","entry_count","rows_scanned","malformed_field_count_rows","strict_utf8_invalid_rows","strict_utf8_invalid_fields","allnames_utf8_invalid_rows","critical_field_utf8_invalid_rows","noncritical_only_utf8_invalid_rows","field_count_distribution","status"
"20250401091500.gkg.csv.zip","be8843732f932c4cd257cb2ee4b27cade6e2b57efbfc2d27964c034f1f44c84b","1","1288","0","1","1","0","0","1","27:1288","PASS_NONCRITICAL_UTF8_ONLY"
"20250401100000.gkg.csv.zip","d1b213a80c55df7a58006d0db75376040b18e136643c32993a3c4dbf41932b6a","1","1274","0","1","1","0","0","1","27:1274","PASS_NONCRITICAL_UTF8_ONLY"
"20250401133000.gkg.csv.zip","773561b7fb3a2f8825f7706affba2d67bc65c203c0a6e01f79a49555a97488c7","1","1664","0","1","1","0","0","1","27:1664","PASS_NONCRITICAL_UTF8_ONLY"
"20250401150000.gkg.csv.zip","0ffa652ba163eeb9146143e3752fdef95a61cf8cafd181b693b8ab9958862fd5","1","2173","0","1","1","0","0","1","27:2173","PASS_NONCRITICAL_UTF8_ONLY"
"20250401151500.gkg.csv.zip","bdfd173d3afc43b61cbcdd1a5d5bad5e90759653ca8213f21f05544255973355","1","2158","0","1","1","0","0","1","27:2158","PASS_NONCRITICAL_UTF8_ONLY"
"20250401180000.gkg.csv.zip","b45c27ff0147be6cb62fb50cbb2aa5a64bfd3c249916e76acc78d960f7e4eaf7","1","2198","0","1","1","0","0","1","27:2198","PASS_NONCRITICAL_UTF8_ONLY"
"20250401193000.gkg.csv.zip","70716e93c3b27ecebe40698bf8fab5f42c7e577f059fc6c3de4053338e40fe4d","1","2332","0","3","3","0","0","3","27:2332","PASS_NONCRITICAL_UTF8_ONLY"
"20250401224500.gkg.csv.zip","6b8e217d1ed0b4784e0a2b530a0c2e904f59ed767178aa31434b05af335d0f11","1","1461","0","1","1","0","0","1","27:1461","PASS_NONCRITICAL_UTF8_ONLY"
"20250403191500.gkg.csv.zip","90cbeead9c15b35bc18d364ef650f72b4289cbf7025610df13981ac51b85e5b4","1","1983","0","1","1","0","0","1","27:1983","PASS_NONCRITICAL_UTF8_ONLY"
"20250403213000.gkg.csv.zip","13df1cfd5a46a793d8a98ca231c9780e309d5db5d21a74543f9b62ed81c46662","1","2147","0","1","1","0","0","1","27:2147","PASS_NONCRITICAL_UTF8_ONLY"
"20250404001500.gkg.csv.zip","99cc713ef9c7751edea5b8d952ca9eb199eb9f058f2848dc09795ac1ace62678","1","1748","0","1","1","0","0","1","27:1748","PASS_NONCRITICAL_UTF8_ONLY"
"20250404083000.gkg.csv.zip","873abbeda21f780c8dae4de50490fc2f6326df5ecd20293258de7a2584aea800","1","1208","0","1","1","0","0","1","27:1208","PASS_NONCRITICAL_UTF8_ONLY"
"20250404090000.gkg.csv.zip","e706cdfa19309534c2fbd50a0d7e25053fe71e95172e2b5b4ea6cfdf4ff7b9e0","1","1331","0","1","1","0","0","1","27:1331","PASS_NONCRITICAL_UTF8_ONLY"
