"base_asset_id","alias_text","requires_crypto_context","sample_rows","econ_bitcoin_theme_rows","strong_crypto_lexical_rows","medium_crypto_lexical_rows","other_asset_alias_rows","strict_rule_rows","broad_rule_rows","prior_anchor_rows"
"AAVE","Aave","False","12","5","6","5","3","8","9","12"
"ADA","Cardano","False","12","8","2","6","2","8","10","12"
"ALGO","Algorand","False","12","3","7","4","4","11","12","12"
"APT","Aptos","False","12","1","1","2","1","2","3","12"
"ARB","Arbitrum","False","12","4","3","3","5","6","10","12"
"ATOM","Cosmos","True","12","0","0","0","0","0","0","0"
"AVAX","Avalanche","True","12","0","0","0","0","0","0","0"
"BCH","Bitcoin Cash","False","12","9","8","1","7","12","12","12"
"BNB","Binance Coin","False","12","10","5","8","3","10","11","12"
"BONK","Bonk","True","12","7","5","5","4","9","9","6"
"CRO","Cronos","False","12","4","1","4","0","4","5","12"
"DAI","Dai","True","12","0","0","0","0","0","0","0"
"DOT","Polkadot","False","12","6","6","5","3","10","10","12"
"EOS","EOS","True","12","2","2","1","1","3","3","2"
"FET","Artificial Superintelligence Alliance","False","12","2","10","5","2","10","12","12"
"FIL","Filecoin","False","12","4","3","6","1","7","9","12"
"ICP","Internet Computer","False","12","6","4","6","2","8","9","12"
"INJ","Injective","False","11","7","6","7","2","11","11","11"
"LINK","Chainlink","False","12","4","3","5","4","6","9","12"
"NEAR","Near Protocol","False","12","8","4","6","5","10","12","12"
"OP","Optimism","True","12","0","0","0","0","0","0","0"
"PEPE","Pepe","True","12","4","2","7","3","6","9","7"
"POL","Polygon","True","12","4","8","4","1","9","9","6"
"RENDER","Render Network","False","12","4","5","5","1","6","8","12"
"SHIB","Shiba Inu","False","12","8","2","6","7","9","10","12"
"SOL","Solana","False","12","8","4","7","3","9","9","12"
"SUI","Sui","True","12","1","3","0","0","4","4","3"
"TAO","Bittensor","False","12","7","6","6","6","11","11","12"
"TIA","Celestia","False","12","5","7","2","2","10","10","12"
"TON","Toncoin","False","12","9","2","4","2","9","10","12"
"TRX","Tron","True","12","2","3","1","1","4","4","1"
"UNI","Uniswap","False","12","4","5","8","1","8","11","12"
"USDC","USD Coin","False","6","6","0","6","0","6","6","6"
"USDT","Tether","True","12","6","9","1","6","12","12","6"
"XETC","Ethereum Classic","False","12","9","8","0","0","10","10","12"
"XETH","Ethereum","False","12","10","2","3","2","10","10","12"
"XLTC","Litecoin","False","12","9","5","5","4","11","11","12"
"XXBT","Bitcoin","False","12","12","0","1","0","12","12","12"
"XXBT","BTC","True","12","11","4","1","3","11","11","7"
"XXDG","DOGE","True","12","0","0","0","0","0","0","0"
"XXDG","Dogecoin","False","12","9","4","3","9","9","11","12"
"XXLM","Stellar","True","12","0","0","0","0","0","0","0"
"XXMR","Monero","False","12","10","6","7","4","12","12","12"
"XXRP","Ripple","False","12","5","0","3","2","5","6","12"
