"base_asset_id","alias_text","requires_crypto_context","record_id","date_utc","source_common_name","document_identifier","matched_surfaces","candidate_context_anchor_present"
"AAVE","Aave","False","20250401151500-1881","20250401151500","coinspeaker.com","https://www.coinspeaker.com/whales-selling-aave-price-dump-incoming/","PAGE_TITLE","True"
"AAVE","Aave","False","20250402001500-592","20250402001500","insidebitcoins.com","https://insidebitcoins.com/sponsored/best-crypto-to-buy-right-now-april-1-aave-avalanche-chainlink","PAGE_TITLE","True"
"AAVE","Aave","False","20250402141500-1619","20250402141500","biztoc.com","https://biztoc.com/x/eaefcb95ea0ba53e","PAGE_TITLE","True"
"AAVE","Aave","False","20250404140000-1416","20250404140000","biztoc.com","https://biztoc.com/x/a9658403de27ebb1","PAGE_TITLE","True"
"AAVE","Aave","False","20250404164500-1054","20250404164500","coindesk.com","https://www.coindesk.com/business/2025/04/04/creators-of-defi-firm-aave-launch-social-media-developer-network-lens-chain","PAGE_TITLE","True"
"AAVE","Aave","False","20250407150000-1347","20250407150000","coindesk.com","https://www.coindesk.com/markets/2025/04/07/usd100m-in-positions-at-risk-if-eth-slides-by-15","PAGE_TITLE","True"
"AAVE","Aave","False","20250409000000-785","20250409000000","insidebitcoins.com","https://insidebitcoins.com/sponsored/top-crypto-gainers-today-apr-8-pendle-aave-pancakeswap-movement","PAGE_TITLE","True"
"AAVE","Aave","False","20250411100000-953","20250411100000","banklesstimes.com","https://www.banklesstimes.com/articles/2025/04/11/heres-why-eos-tezos-ethereum-aave-and-altcoins-are-crashing/","PAGE_TITLE","True"
"AAVE","Aave","False","20250415123000-1077","20250415123000","modernreaders.com","https://www.modernreaders.com/news/2025/04/15/aave-aave-hits-1-day-trading-volume-of-205-16-million.html","PAGE_TITLE","True"
"AAVE","Aave","False","20250415174500-349","20250415174500","statenews.com","https://statenews.com/article/2025/04/brilliance-is-not-determined-by-your-language-msu-professor-teaches-power-of-aave","PAGE_TITLE","True"
"AAVE","Aave","False","20250416010000-472","20250416010000","insidebitcoins.com","https://insidebitcoins.com/sponsored/5-best-altcoins-to-buy-now-april-15-tron-gatetoken-vechain-aave","PAGE_TITLE","True"
"AAVE","Aave","False","20250418140000-266","20250418140000","coinspeaker.com","https://www.coinspeaker.com/aave-kickstarts-buyback-program/","PAGE_TITLE","True"
"ADA","Cardano","False","20250401030000-768","20250401030000","jtv.com","https://www.jtv.com/product/18k-yellow-gold-over-bronze-3mm-cardano-24-inch-chain/MA609B","PAGE_TITLE","True"
"ADA","Cardano","False","20250401084500-180","20250401084500","fxstreet.com","https://www.fxstreet.com/cryptocurrencies/news/cardano-price-today-ada-price-gains-alongside-increase-in-volume-202504010749","PAGE_TITLE","True"
"ADA","Cardano","False","20250401101500-489","20250401101500","coinspeaker.com","https://www.coinspeaker.com/charles-hoskinson-discusses-cardano-bitcoin-adoption-ada-soars/","PAGE_TITLE","True"
"ADA","Cardano","False","20250401113000-1254","20250401113000","invezz.com","https://invezz.com/news/2025/04/01/altcoins-today-cardano-and-bnb-lead-recoveries-ahead-of-liberation-day/","PAGE_TITLE","True"
"ADA","Cardano","False","20250401160000-86","20250401160000","cyprus-mail.com","https://cyprus-mail.com/2025/04/01/ai-detects-3-tokens-under-2-ready-to-skyrocket-says-one-is-a-potential-cardano-ada-replacement","PAGE_TITLE","True"
"ADA","Cardano","False","20250401181500-170","20250401181500","newsbtc.com","https://www.newsbtc.com/news/cardano/whales-offload-200m-cardano-during-march-the-start-of-a-trend/","PAGE_TITLE","True"
"ADA","Cardano","False","20250401201500-1711","20250401201500","coinspeaker.com","https://www.coinspeaker.com/cardano-founder-talks-xrp-surprising-interview/","PAGE_TITLE","True"
"ADA","Cardano","False","20250402084500-594","20250402084500","fxstreet.com","https://www.fxstreet.com/cryptocurrencies/news/cardano-price-today-ada-price-declines-alongside-decrease-in-volume-202504020638","PAGE_TITLE","True"
"ADA","Cardano","False","20250402084500-745","20250402084500","fxstreet.com","https://www.fxstreet.com/cryptocurrencies/news/grayscale-files-s-3-form-for-digital-large-cap-etf-comprising-bitcoin-ethereum-xrp-solana-and-cardano-202504020506","PAGE_TITLE","True"
"ADA","Cardano","False","20250402093000-1188","20250402093000","banklesstimes.com","https://www.banklesstimes.com/articles/2025/04/02/cardano-price-prediction-can-ada-hit-2-as-chain-fees-crash/","PAGE_TITLE","True"
"ADA","Cardano","False","20250402110000-790","20250402110000","news.az","https://news.az/news/xrp-plunges-14-cardano-slides-12-is-the-smart-money-moving-into-solaxy-btcbull-and-other-best-crypto-presales","PAGE_TITLE","True"
"ADA","Cardano","False","20250402140000-425","20250402140000","cyprus-mail.com","https://cyprus-mail.com/2025/04/02/invest-in-cardano-ada-or-mutuum-finance-mutm-this-is-what-10000-in-ada-vs-mutm-could-be-worth-after-3-months","PAGE_TITLE","True"
"ALGO","Algorand","False","20250403101500-98","20250403101500","mondovisione.com","https://mondovisione.com/media-and-resources/news/quantoz-brings-european-regulated-stablecoins-eurq-and-usdq-to-algorand-202543/","PAGE_TITLE","True"
"ALGO","Algorand","False","20250404204500-1312","20250404204500","insidebitcoins.com","https://insidebitcoins.com/sponsored/5-best-cheap-cryptocurrencies-to-buy-under-1-dollar-4-april-algorand-brett-arbitrum-cosmos","PAGE_TITLE","True"
"ALGO","Algorand","False","20250407121500-234","20250407121500","modernreaders.com","https://www.modernreaders.com/news/2025/04/07/algorand-algo-self-reported-market-capitalization-tops-1-34-billion.html","PAGE_TITLE","True"
"ALGO","Algorand","False","20250410091500-1106","20250410091500","banklesstimes.com","https://www.banklesstimes.com/articles/2025/04/10/algorand-price-targets-0-22-as-fiat-chain-announcement-fuels-optimism/","PAGE_TITLE","True"
"ALGO","Algorand","False","20250417054500-897","20250417054500","itnewsonline.com","https://www.itnewsonline.com/PRNewswire/The-Core-and-Algorand-Foundation-Kickoff-Build-on-Blockchain-Series/1052170","PAGE_TITLE","True"
"ALGO","Algorand","False","20250419141500-167","20250419141500","insidebitcoins.com","https://insidebitcoins.com/sponsored/top-crypto-gainers-today-apr-19-eigenlayer-jito-kadena-algorand","PAGE_TITLE","True"
"ALGO","Algorand","False","20250427151500-514","20250427151500","thesun.my","https://thesun.my/business-news/luno-malaysia-adds-algorand-and-near-protocol-to-its-digital-asset-offerings-EF14006828","PAGE_TITLE","True"
"ALGO","Algorand","False","20250430183000-1134","20250430183000","banklesstimes.com","https://www.banklesstimes.com/articles/2025/04/30/fifa-shifts-nft-strategy-from-algorand-to-evm-blockchain/","PAGE_TITLE","True"
"ALGO","Algorand","False","20250430213000-150","20250430213000","invezz.com","https://invezz.com/news/2025/04/30/algo-price-drops-as-fifa-collect-plans-to-abandon-algorand-for-own-chain/","PAGE_TITLE","True"
"ALGO","Algorand","False","20250522123000-168","20250522123000","biztoc.com","https://biztoc.com/x/cd2c35009d34fe59","PAGE_TITLE","True"
"ALGO","Algorand","False","20250610103000-771","20250610103000","finanznachrichten.de","https://www.finanznachrichten.de/nachrichten-2025-06/65625242-new-research-from-algorand-foundation-tvl-can-be-too-easily-gamified-008.htm","PAGE_TITLE","True"
"ALGO","Algorand","False","20250610113000-1343","20250610113000","manilatimes.net","https://www.manilatimes.net/2025/06/10/tmt-newswire/pr-newswire/new-research-from-algorand-foundation-tvl-can-be-too-easily-gamified/2130512","PAGE_TITLE","True"
"APT","Aptos","False","20250402123000-326","20250402123000","finsmes.com","https://www.finsmes.com/2025/04/universal-health-token-receives-strategic-investment-from-aptos-foundation.html","PAGE_TITLE","True"
"APT","Aptos","False","20250403224500-626","20250403224500","yahoo.com","https://www.yahoo.com/news/aptos-woman-killer-identified-nearly-202347814.html","PAGE_TITLE","True"
"APT","Aptos","False","20250404033000-202","20250404033000","santacruzsentinel.com","https://www.santacruzsentinel.com/2025/04/03/killer-in-decades-old-aptos-cold-case-identified-through-dna-evidence/","PAGE_TITLE","True"
"APT","Aptos","False","20250405034500-639","20250405034500","santacruzsentinel.com","https://www.santacruzsentinel.com/2025/04/04/67-year-old-aptos-man-arrested-for-sexual-battery-of-a-child/","PAGE_TITLE","True"
