"base_asset_id","alias_text","alias_type","requires_crypto_context","mapping_tier","allnames_document_count","persons_document_count","organizations_document_count","title_document_count","any_surface_document_count","candidate_context_supported_document_count","candidate_context_unsupported_document_count","distinct_source_count","first_date_utc","last_date_utc","semantic_observation_status"
"AAVE","Aave","manual_core_name","False","manual_core_exploratory","0","0","0","51","51","0","51","14","20250401151500","20250613221500","OBSERVED_MULTI_SURFACE"
"ADA","Cardano","manual_core_name","False","manual_core_exploratory","0","0","0","335","335","0","335","44","20250401030000","20250614164500","OBSERVED_MULTI_SURFACE"
"ALGO","Algorand","manual_core_name","False","manual_core_exploratory","0","0","0","14","14","0","14","12","20250403101500","20250610134500","OBSERVED_MULTI_SURFACE"
"APT","Aptos","manual_core_name","False","manual_core_exploratory","0","0","0","75","75","0","75","31","20250402123000","20250612234500","OBSERVED_MULTI_SURFACE"
"ARB","Arbitrum","manual_core_name","False","manual_core_exploratory","0","0","0","31","31","0","31","14","20250401191500","20250605141500","OBSERVED_MULTI_SURFACE"
"ATOM","Cosmos","manual_core_name","True","manual_core_contextual","0","0","0","237","237","13","224","162","20250401133000","20250613224500","OBSERVED_CONTEXT_REVIEW_REQUIRED"
"AVAX","Avalanche","manual_core_name","True","manual_core_contextual","0","0","0","1796","1796","49","1747","506","20250401034500","20250614093000","OBSERVED_CONTEXT_REVIEW_REQUIRED"
"BCH","Bitcoin Cash","manual_core_name","False","manual_core_exploratory","192","0","0","28","198","0","198","67","20250402200000","20250614143000","OBSERVED_MULTI_SURFACE"
"BNB","Binance Coin","manual_core_name","False","manual_core_exploratory","141","0","0","18","146","0","146","49","20250401090000","20250613140000","OBSERVED_MULTI_SURFACE"
"BONK","Bonk","manual_core_name","True","manual_core_contextual","0","0","0","78","78","49","29","26","20250401144500","20250614074500","OBSERVED_CONTEXT_REVIEW_REQUIRED"
"CRO","Cronos","manual_core_name","False","manual_core_exploratory","0","0","0","94","94","0","94","51","20250402150000","20250614174500","OBSERVED_MULTI_SURFACE"
"DAI","Dai","manual_core_name","True","manual_core_contextual","0","0","0","230","230","2","228","87","20250401093000","20250614141500","OBSERVED_CONTEXT_REVIEW_REQUIRED"
"DOT","Polkadot","manual_core_name","False","manual_core_exploratory","0","0","0","42","42","0","42","18","20250402064500","20250614174500","OBSERVED_MULTI_SURFACE"
"EOS","EOS","manual_core_name","True","manual_core_contextual","0","0","0","293","293","17","276","127","20250401120000","20250614051500","OBSERVED_CONTEXT_REVIEW_REQUIRED"
"FET","Artificial Superintelligence Alliance","manual_core_name","False","manual_core_exploratory","36","0","40","1","41","0","41","14","20250413173000","20250613100000","OBSERVED_MULTI_SURFACE"
"FIL","Filecoin","manual_core_name","False","manual_core_exploratory","0","0","0","26","26","0","26","14","20250404114500","20250612233000","OBSERVED_MULTI_SURFACE"
"ICP","Internet Computer","manual_core_name","False","manual_core_exploratory","49","0","0","12","49","0","49","23","20250401220000","20250614001500","OBSERVED_MULTI_SURFACE"
"INJ","Injective","manual_core_name","False","manual_core_exploratory","0","0","0","11","11","0","11","5","20250407173000","20250610184500","OBSERVED_MULTI_SURFACE"
"LINK","Chainlink","manual_core_name","False","manual_core_exploratory","0","0","0","116","116","0","116","23","20250402001500","20250613183000","OBSERVED_MULTI_SURFACE"
"MKR","MakerDAO","manual_core_name","False","manual_core_exploratory","0","0","0","0","0","0","0","0","","","UNVERIFIED_NOT_OBSERVED"
"NEAR","Near Protocol","manual_core_name","False","manual_core_exploratory","33","0","0","17","47","0","47","22","20250401220000","20250614001500","OBSERVED_MULTI_SURFACE"
"OP","Optimism","manual_core_name","True","manual_core_contextual","0","0","0","2317","2317","103","2214","959","20250401000000","20250614133000","OBSERVED_CONTEXT_REVIEW_REQUIRED"
"PEPE","Pepe","manual_core_name","True","manual_core_contextual","0","0","0","532","532","218","314","202","20250401041500","20250614143000","OBSERVED_CONTEXT_REVIEW_REQUIRED"
"POL","Polygon","manual_core_name","True","manual_core_contextual","0","0","0","92","92","24","68","47","20250401144500","20250613224500","OBSERVED_CONTEXT_REVIEW_REQUIRED"
"RENDER","Render Network","manual_core_name","False","manual_core_exploratory","24","0","27","5","28","0","28","17","20250401144500","20250606160000","OBSERVED_MULTI_SURFACE"
"SHIB","Shiba Inu","manual_core_name","False","manual_core_exploratory","709","775","0","306","873","0","873","225","20250401041500","20250614103000","OBSERVED_MULTI_SURFACE"
"SOL","Solana","manual_core_name","False","manual_core_exploratory","0","0","0","1009","1009","0","1009","115","20250401044500","20250614170000","OBSERVED_MULTI_SURFACE"
"SUI","Sui","manual_core_name","True","manual_core_contextual","0","0","0","508","508","76","432","67","20250401084500","20250614141500","OBSERVED_CONTEXT_REVIEW_REQUIRED"
"TAO","Bittensor","manual_core_name","False","manual_core_exploratory","0","0","0","45","45","0","45","15","20250403181500","20250614001500","OBSERVED_MULTI_SURFACE"
"TIA","Celestia","manual_core_name","False","manual_core_exploratory","0","0","0","18","18","0","18","12","20250402154500","20250611193000","OBSERVED_MULTI_SURFACE"
"TON","Toncoin","manual_core_name","False","manual_core_exploratory","0","0","0","46","46","0","46","16","20250401074500","20250613121500","OBSERVED_MULTI_SURFACE"
"TRX","Tron","manual_core_name","True","manual_core_contextual","0","0","0","475","475","49","426","292","20250401040000","20250614161500","OBSERVED_CONTEXT_REVIEW_REQUIRED"
"UNI","Uniswap","manual_core_name","False","manual_core_exploratory","0","0","0","59","59","0","59","18","20250401210000","20250613103000","OBSERVED_MULTI_SURFACE"
"USDC","USD Coin","manual_core_name","False","manual_core_exploratory","0","0","0","6","6","0","6","4","20250407114500","20250602123000","OBSERVED_MULTI_SURFACE"
"USDT","Tether","manual_core_name","True","manual_core_contextual","0","0","0","224","224","101","123","77","20250401040000","20250614120000","OBSERVED_CONTEXT_REVIEW_REQUIRED"
"XETC","Ethereum Classic","manual_core_name","False","manual_core_exploratory","44","0","0","13","49","0","49","21","20250401150000","20250614133000","OBSERVED_MULTI_SURFACE"
"XETH","Ethereum","manual_core_name","False","manual_core_exploratory","0","0","0","1347","1347","0","1347","101","20250401040000","20250614164500","OBSERVED_MULTI_SURFACE"
"XLTC","Litecoin","manual_core_name","False","manual_core_exploratory","0","0","0","126","126","0","126","37","20250402174500","20250614090000","OBSERVED_MULTI_SURFACE"
"XXBT","Bitcoin","manual_core_name","False","manual_core_exploratory","0","0","0","9619","9619","0","9619","989","20250401000000","20250614174500","OBSERVED_MULTI_SURFACE"
"XXBT","BTC","manual_core_symbol","True","manual_symbol_contextual","0","0","0","1785","1785","1359","426","124","20250401040000","20250614154500","OBSERVED_CONTEXT_REVIEW_REQUIRED"
"XXDG","DOGE","manual_core_symbol","True","manual_symbol_contextual","0","0","0","16102","16102","364","15738","2010","20250401000000","20250614160000","OBSERVED_CONTEXT_REVIEW_REQUIRED"
"XXDG","Dogecoin","manual_core_name","False","manual_core_exploratory","0","0","0","1031","1031","0","1031","65","20250401040000","20250614110000","OBSERVED_MULTI_SURFACE"
"XXLM","Stellar","manual_core_name","True","manual_core_contextual","0","0","0","1186","1186","18","1168","654","20250401021500","20250614133000","OBSERVED_CONTEXT_REVIEW_REQUIRED"
"XXMR","Monero","manual_core_name","False","manual_core_exploratory","0","0","0","52","52","0","52","20","20250410150000","20250614174500","OBSERVED_MULTI_SURFACE"
"XXRP","Ripple","manual_core_name","False","manual_core_exploratory","0","0","0","1199","1199","0","1199","436","20250401030000","20250614164500","OBSERVED_MULTI_SURFACE"
