"base_asset_id","alias_text","requires_crypto_context","record_id","date_utc","source_common_name","document_identifier","context_anchor_present"
"BCH","Bitcoin Cash","False","20250402200000-33","20250402200000","insidebitcoins.com","https://insidebitcoins.com/crypto/what-is-bitcoin","True"
"BCH","Bitcoin Cash","False","20250402200000-410","20250402200000","insidebitcoins.com","https://insidebitcoins.com/crypto/what-is-an-altcoin","True"
"BCH","Bitcoin Cash","False","20250402200000-1580","20250402200000","insidebitcoins.com","https://insidebitcoins.com/crypto/best-altcoins-to-buy","True"
"BCH","Bitcoin Cash","False","20250403151500-1240","20250403151500","themarketsdaily.com","https://www.themarketsdaily.com/2025/04/03/bitcoin-cash-market-cap-tops-5-87-billion-bch.html","True"
"BCH","Bitcoin Cash","False","20250404141500-1757","20250404141500","coinspeaker.com","https://www.coinspeaker.com/guides/best-anonymous-crypto-wallets/","True"
"BCH","Bitcoin Cash","False","20250404160000-858","20250404160000","theportugalnews.com","https://www.theportugalnews.com/news/2025-04-04/dn-cloud-mining-plan-get-100-free-bonus-and-start-your-blockchain-wealth-journey/96707","True"
"BCH","Bitcoin Cash","False","20250404161500-915","20250404161500","bitcoinmagazine.com","https://bitcoinmagazine.com/technical/bitcoin-covenants-checksigfromstack-bip-348","True"
"BCH","Bitcoin Cash","False","20250405201500-492","20250405201500","insidebitcoins.com","https://insidebitcoins.com/sponsored/5-best-altcoins-to-watch-today-april-5-mantle-okb-bitcoin-cash-bittensor","True"
"BCH","Bitcoin Cash","False","20250406064500-584","20250406064500","meinbezirk.at","https://www.meinbezirk.at/melk/c-regionauten-community/best-crypto-casinos-2025-10-best-crypto-casinos-for-gambling-with-bitcoin-and-altcoins-2025_a7244632","True"
"BCH","Bitcoin Cash","False","20250406083000-542","20250406083000","itnewsonline.com","https://www.itnewsonline.com/GlobeNewswire/STG-Energy-Expands-Bitcoin-Cloud-Mining-Services-Amid-Rising-Crypto-Demand/95872","True"
"BCH","Bitcoin Cash","False","20250406090000-412","20250406090000","manilatimes.net","https://www.manilatimes.net/2025/04/06/tmt-newswire/globenewswire/stg-energy-expands-bitcoin-cloud-mining-services-amid-rising-crypto-demand/2087202","True"
"BCH","Bitcoin Cash","False","20250406093000-127","20250406093000","globenewswire.com","https://www.globenewswire.com/news-release/2025/04/06/3056318/0/en/STG-Energy-Expands-Bitcoin-Cloud-Mining-Services-Amid-Rising-Crypto-Demand.html","True"
"BNB","Binance Coin","False","20250401090000-827","20250401090000","kuenselonline.com","https://kuenselonline.com/news/gmc-conference-on-digital-assets-to-host-global-financial-leaders","True"
"BNB","Binance Coin","False","20250402064500-1145","20250402064500","invezz.com","https://invezz.com/news/2025/04/02/crypto-tokens-with-major-catalysts-polkadot-eos-iota-bnb/","True"
"BNB","Binance Coin","False","20250402103000-331","20250402103000","coinspeaker.com","https://www.coinspeaker.com/vaneck-files-for-bnb-etf/","True"
"BNB","Binance Coin","False","20250402144500-1123","20250402144500","econotimes.com","http://www.econotimes.com/VanEck-Aims-to-Launch-First-US-BNB-ETF-1706463","True"
"BNB","Binance Coin","False","20250402150000-659","20250402150000","insidebitcoins.com","https://insidebitcoins.com/news/vaneck-files-for-first-binance-coin-bnb-etf-in-the-us","True"
"BNB","Binance Coin","False","20250402163000-2028","20250402163000","fxstreet.com","https://www.fxstreet.com/cryptocurrencies/news/cardano-and-binance-coin-price-forecast-altcoins-ada-and-bnb-show-weakness-in-momentum-indicators-202504020831","True"
"BNB","Binance Coin","False","20250402200000-410","20250402200000","insidebitcoins.com","https://insidebitcoins.com/crypto/what-is-an-altcoin","True"
"BNB","Binance Coin","False","20250403083000-812","20250403083000","riotimesonline.com","https://www.riotimesonline.com/bitcoins-wild-ride-tariffs-and-etf-hopes-shake-crypto-market/","True"
"BNB","Binance Coin","False","20250403110000-833","20250403110000","dailyforex.com","https://www.dailyforex.com/forex-technical-analysis/2025/04/bnb-tests-key-resistance-zone-3-april-2025/226532","True"
"BNB","Binance Coin","False","20250403121500-666","20250403121500","cyprus-mail.com","https://cyprus-mail.com/2025/04/03/binance-coin-bnbs-fight-against-the-bears-puts-spotlight-on-ruvi-ais-early-investors-rewards","True"
"BNB","Binance Coin","False","20250403123000-1606","20250403123000","invezz.com","https://invezz.com/news/2025/04/03/binance-coin-bnb-holds-firm-after-trumps-tariffs-as-vaneck-files-for-bnb-etf/","True"
"BNB","Binance Coin","False","20250403163000-1376","20250403163000","theportugalnews.com","https://www.theportugalnews.com/news/2025-04-03/latest-crypto-price-analysis-news-solana-binance-coin-bnb-web3-future-crypto-leader-coldware-cold/96668","True"
"FET","Artificial Superintelligence Alliance","False","20250413173000-535","20250413173000","insidebitcoins.com","https://insidebitcoins.com/sponsored/next-cryptocurrency-to-explode-13-april-aioz-network-story-floki","True"
"FET","Artificial Superintelligence Alliance","False","20250414233000-1499","20250414233000","fxstreet.com","https://www.fxstreet.com/cryptocurrencies/news/crypto-ai-tokens-to-watch-after-nvidias-and-openais-latest-moves-rndr-icp-and-sei-price-analysis-202504141929","True"
"FET","Artificial Superintelligence Alliance","False","20250419190000-310","20250419190000","insidebitcoins.com","https://insidebitcoins.com/sponsored/best-ai-crypto-to-watch-for-decentralized-autonomous-agent-subbd-mind-network-autonolas","True"
"FET","Artificial Superintelligence Alliance","False","20250420091500-352","20250420091500","invezz.com","https://invezz.com/news/2025/04/20/top-crypto-price-prediction-jasmy-fartcoin-gala-fet/","True"
"FET","Artificial Superintelligence Alliance","False","20250420204500-543","20250420204500","biztoc.com","https://biztoc.com/x/9ef04c07a18dbf26","True"
"FET","Artificial Superintelligence Alliance","False","20250422083000-978","20250422083000","econotimes.com","http://www.econotimes.com/May-2025-Crypto-Whales-Top-Picks-Revealed-1708161","True"
"FET","Artificial Superintelligence Alliance","False","20250424120000-221","20250424120000","insidebitcoins.com","https://insidebitcoins.com/press-releases/mind-of-pepe-presale-unveils-ai-agent-may-10-will-the-grok-of-crypto-100x","True"
"FET","Artificial Superintelligence Alliance","False","20250424151500-1455","20250424151500","coinspeaker.com","https://www.coinspeaker.com/mind-of-pepe-launches-may-10-ai-grok-presale-continues/","True"
"FET","Artificial Superintelligence Alliance","False","20250425140000-369","20250425140000","fxstreet.com","https://www.fxstreet.com/cryptocurrencies/news/ai-tokens-tao-fet-ai16z-surge-despite-nvidia-excluding-crypto-related-projects-from-its-inception-program-202504251023","True"
"FET","Artificial Superintelligence Alliance","False","20250501090000-774","20250501090000","econotimes.com","http://www.econotimes.com/Whales-Fuel-AI-Crypto-Frenzy-FET-AI16Z-and-AIXBT-Surge-1709065","True"
"FET","Artificial Superintelligence Alliance","False","20250501140000-1165","20250501140000","insidebitcoins.com","https://insidebitcoins.com/sponsored/is-it-too-late-to-buy-fet-artificial-super-intelligence-price-soars-58-in-a-month-and-this-might-be-the-next-crypto-to-explode","True"
"FET","Artificial Superintelligence Alliance","False","20250501190000-1738","20250501190000","insidebitcoins.com","https://insidebitcoins.com/sponsored/ai-agent-tokens-boom-as-the-chatgpt-of-crypto-bursts-onto-the-scene","True"
"ICP","Internet Computer","False","20250401220000-1727","20250401220000","coindesk.com","https://www.coindesk.com/markets/2025/04/01/coreweave-rises-20-amid-openai-s-record-breaking-funding-round","True"
