"base_asset_id","base_exchange_symbol","quote_exchange_symbols","candidate_count","candidate_ids","active_candidate_ids","kraken_pair_bridge_candidate_ids","kraken_pair_bridge_counts","cfa_independent_review_decision","approved_candidate_id"
"1INCH","1INCH","EUR|USD","1","1inch","","1inch","1inch:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","1inch"
"AAVE","AAVE","ETH|EUR|GBP|USD|XBT","1","aave","","aave","aave:3","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","aave"
"ACA","ACA","EUR|USD","1","acala","","acala","acala:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","acala"
"ACH","ACH","EUR|USD","1","alchemy-pay","","alchemy-pay","alchemy-pay:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","alchemy-pay"
"ACT","ACT","EUR|USD","3","acet-token|achain|act-i-the-ai-prophecy","","act-i-the-ai-prophecy","acet-token:0|achain:0|act-i-the-ai-prophecy:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","act-i-the-ai-prophecy"
"ACX","ACX","EUR|USD","1","across-protocol","","","across-protocol:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"ADA","ADA","AUD|ETH|EUR|GBP|USD|USDC|USDT|XBT","3","ada-the-dog|binance-peg-cardano|cardano","","cardano","ada-the-dog:0|binance-peg-cardano:0|cardano:6","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","cardano"
"ADX","ADX","EUR|USD","2","adex|adrena","","adex","adex:2|adrena:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","adex"
"AERO","AERO","EUR|USD","1","aerodrome-finance","","aerodrome-finance","aerodrome-finance:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","aerodrome-finance"
"AEVO","AEVO","EUR|USD","1","aevo-exchange","","aevo-exchange","aevo-exchange:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","aevo-exchange"
"AGLD","AGLD","EUR|USD","1","adventure-gold","","","adventure-gold:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"AI16Z","AI16Z","EUR|USD|USDC|USDT","1","ai16z","","","ai16z:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"AIR","AIR","EUR|USD","2","airian|spacebar","","","airian:0|spacebar:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"AIXBT","AIXBT","EUR|USD","1","aixbt","","aixbt","aixbt:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","aixbt"
"AKT","AKT","EUR|USD","2","akash-network|akita-inu-2","","akash-network","akash-network:2|akita-inu-2:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","akash-network"
"ALCH","ALCH","EUR|USD","1","alchemist-ai","","","alchemist-ai:0","UNVERIFIED_NO_CURRENT_KRAKEN_PAIR_BRIDGE",""
"ALCX","ALCX","EUR|USD","1","alchemix","","alchemix","alchemix:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","alchemix"
"ALGO","ALGO","ETH|EUR|GBP|USD|USDC|USDT|XBT","2","algorand|dear-algorithm","","algorand","algorand:6|dear-algorithm:0","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","algorand"
"ALICE","ALICE","EUR|USD","3","alice-2|alice-4|my-neighbor-alice","","my-neighbor-alice","alice-2:0|alice-4:0|my-neighbor-alice:1","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","my-neighbor-alice"
"ALPHA","ALPHA","EUR|USD","7","alpha-3|alpha-4|alpha-6|alphaarc|alphablockai|alpha-fi|alpha-finance","","alpha-finance","alpha-3:0|alpha-4:0|alpha-6:0|alphaarc:0|alphablockai:0|alpha-fi:0|alpha-finance:2","APPROVE_CURRENT_KRAKEN_PAIR_BRIDGE","alpha-finance"
